source_center,destination_center,route_type,time_of_day,median_segment_factor,median_segment_actual_time,median_segment_osrm_time,median_segment_osrm_distance,trip_count,source_name,destination_name
IND160002AAC,IND000000ACB,FTL,Afternoon,1.861904761904762,36.0,18.0,24.3721,22,Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana)
IND160002AAC,IND000000ACB,FTL,Evening,1.660919540229885,36.0,19.0,25.58095,320,Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana)
IND160002AAC,IND000000ACB,FTL,Morning,1.6666666666666667,32.0,19.5,24.451900000000002,176,Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana)
IND160002AAC,IND000000ACB,FTL,Night,1.9123809523809523,39.0,21.0,24.91835,198,Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana)
IND160002AAC,IND110037AAM,FTL,Afternoon,1.836021505376344,31.0,16.0,22.73735,90,Chandigarh_Mehmdpur_H (Punjab),Delhi_Airport_H (Delhi)
IND160002AAC,IND131028AAB,FTL,Evening,1.7333333333333334,28.0,16.0,22.75345,96,Chandigarh_Mehmdpur_H (Punjab),Sonipat_Kundli_H (Haryana)
IND160002AAC,IND134203AAA,Carting,Night,1.4285714285714286,16.0,10.0,11.613,5,Chandigarh_Mehmdpur_H (Punjab),Naraingarh_Ward2DPP_D (Haryana)
IND160002AAC,IND135001AAA,FTL,Evening,1.7391304347826086,40.0,19.0,23.4564,3,Chandigarh_Mehmdpur_H (Punjab),YamunaNagar_DC (Haryana)
IND160002AAC,IND140301AAA,FTL,Night,1.3888888888888888,37.5,23.5,19.47015,42,Chandigarh_Mehmdpur_H (Punjab),Chandigarh_Kharar_DC (Chandigarh)
IND160002AAC,IND140603AAA,Carting,Morning,1.0454545454545454,11.0,10.0,9.7227,42,Chandigarh_Mehmdpur_H (Punjab),Zirakpur_DC (Punjab)
IND160002AAC,IND140603AAA,Carting,Night,1.0909090909090908,12.0,10.0,9.741150000000001,60,Chandigarh_Mehmdpur_H (Punjab),Zirakpur_DC (Punjab)
IND160002AAC,IND140901AAA,Carting,Night,1.1538461538461537,13.0,12.0,10.623,105,Chandigarh_Mehmdpur_H (Punjab),Chandigarh_Mullanpr_DC (Chandigarh)
IND160002AAC,IND142001AAB,FTL,Afternoon,1.7058823529411764,31.0,17.0,23.70275,126,Chandigarh_Mehmdpur_H (Punjab),Moga_DPC (Punjab)
IND160002AAC,IND143001AAA,FTL,Morning,1.85,30.0,16.0,23.2762,121,Chandigarh_Mehmdpur_H (Punjab),Amritsar_DPC (Punjab)
