node_id,betweenness_centrality,in_degree,out_degree,clustering_coefficient,delayed_trips,avg_delay_factor,node_name,sla_breach_score,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
IND388121AAA,0.0004053738488258,1,1,0.5,54.0,1.3923076923076922,Anand_VUNagar_DC (Gujarat),0.0218901878365953,-0.0016339014750700385,-0.002201564827648637,0.0014748078637695095,-0.0021592702293548,-0.0010393942060213975,0.001169326187897557,0.0005908324820179157,0.0021835098117719874,0.0010899756375811634,0.00020037299858046564,0.00041507505737634244,-0.0010942842252770779,-0.0015609619098327972,0.0010478331427923784,-0.002791382801247345,-0.0036781876280176833
IND388620AAB,0.0004031846111184,1,1,0.5,69.0,1.75,Khambhat_MotvdDPP_D (Gujarat),0.0278197381671701,-0.0016339014750700457,-0.0022015648276486307,0.0014748078637695065,-0.0021592702293548025,-0.0010393942060213978,0.0011693261878975563,0.0005908324820179094,0.0021835098117719957,0.0010899756375811614,0.0002003729985804695,0.000415075057376349,-0.0010942842252770727,-0.0015623681043481943,0.0010492544034157918,-0.0027954184878993377,-0.0036842087663909503
IND421302AAG,0.0696252368382474,29,29,0.0591299019607843,9085.0,2.158751220100741,Bhiwandi_Mankoli_HB (Maharashtra),632.5452766754784,-0.0016339014750702276,-0.002201564827647977,0.0014748078637692814,-0.0021592702293547292,-0.0010393942060210693,0.0011693261878977707,0.0005908324820179883,0.0021835098117719844,0.0010899756375817658,0.00020037299857969532,0.0004150750573756007,-0.0010942842252772485,-0.0012232272126370275,0.001171415368589704,-0.0008974483702600442,-0.003673848669789204
IND400011AAA,0.0008078287140417,2,2,0.0,131.0,3.191233766233766,LowerParel_CP (Maharashtra),0.1058255615394719,-0.001633901475070205,-0.0022015648276479133,0.0014748078637692732,-0.002159270229354758,-0.0010393942060210573,0.001169326187897768,0.0005908324820179529,0.002183509811771962,0.001089975637581764,0.0002003729985797106,0.0004150750573754703,-0.0010942842252771924,-0.0011878624308545205,0.001469965047862775,-0.0009321587929869941,-0.00406568962361489
IND562132AAA,0.1249428383249182,36,35,0.0548112058465286,9837.0,1.6068346614266025,Bangalore_Nelmngla_H (Karnataka),1229.0627006022212,-0.0016339014750703473,-0.0022015648276479997,0.0014748078637691958,-0.00215927022935476,-0.0010393942060209472,0.0011693261878978171,0.0005908324820182157,0.002183509811772033,0.0010899756375812386,0.00020037299857927448,0.00041507505737573214,-0.0010942842252768992,0.0018876965062379755,0.00492707383277638,0.0010486688429953075,-0.0021162094791208107
IND560099AAB,0.0034754774101943,11,18,0.1473551637279597,1649.0,1.5446806402327071,Bengaluru_Bomsndra_HB (Karnataka),5.731062249410468,-0.0016339014750703356,-0.0022015648276481293,0.0014748078637692517,-0.0021592702293546442,-0.001039394206020946,0.0011693261878978078,0.000590832482018204,0.0021835098117720295,0.0010899756375811946,0.00020037299857912267,0.00041507505737565717,-0.0010942842252770544,0.0017900435180868458,0.00687708806296602,0.001937570407391736,-0.001559258390778923
IND141003AAB,0.0,0,3,0.5,50.0,1.6947274947274948,Ludhiana_GillChwk_DC (Punjab),0.0,-0.001633901475070403,-0.002201564827648361,0.0014748078637690067,-0.0021592702293551313,-0.001039394206020924,0.0011693261878977723,0.0005908324820180945,0.002183509811772077,0.0010899756375823812,0.00020037299858055452,0.00041507505737639594,-0.0010942842252762738,-0.0019403331655839036,0.0005273344658413254,-0.004018335394402506,-0.003974733793240345
IND142026AAA,0.0,1,2,0.5,21.0,1.634126984126984,Jagraon_DC (Punjab),0.0,-0.0016339014750703994,-0.002201564827648352,0.0014748078637690034,-0.0021592702293551317,-0.0010393942060209238,0.001169326187897777,0.0005908324820180922,0.002183509811772076,0.001089975637582373,0.00020037299858056116,0.00041507505737638434,-0.0010942842252762812,-0.0019407260628591383,0.0005274953194353032,-0.004019642013804281,-0.00397619747679276
IND141109AAA,0.0,2,1,0.5,0.0,0.0,Raikot_DC (Punjab),0.0,-0.0016339014750704104,-0.002201564827648375,0.0014748078637690026,-0.0021592702293551295,-0.001039394206020922,0.001169326187897773,0.0005908324820180928,0.002183509811772083,0.001089975637582386,0.0002003729985805613,0.0004150750573763896,-0.0010942842252762762,-0.0019425700057690012,0.0005282499053241444,-0.004025771014095523,-0.003983061959330866
IND362001AAA,4.050089758746005e-05,3,4,0.0238095238095238,202.0,1.6845975783475782,Junagadh_DPC (Gujarat),0.0081811813126669,-0.005311017640626093,-0.013135942306193742,0.015167636239420456,0.011361124035081169,-0.00999420636016355,-0.0032338861268211712,0.015297544700170569,0.018281187030060563,-0.009668263821182773,0.013187906197033073,-0.008471403499950231,0.013471385511354567,2.7767502646519767e-16,7.850610042595903e-16,-1.9657550280543644e-15,1.9975248062855464e-15
IND362265AAA,1.6419282805727048e-05,3,1,0.1666666666666666,78.0,2.25,Veraval_DC (Gujarat),0.0012807040588467,-0.005311017640626089,-0.013135942306193691,0.015167636239420428,0.01136112403508116,-0.009994206360163552,-0.0032338861268211643,0.015297544700170517,0.018281187030060465,-0.009668263821182795,0.01318790619703304,-0.00847140349995021,0.0134713855113545,3.1929997296304926e-16,7.746467846402831e-16,-1.9640234761468046e-15,1.9864770061363782e-15
IND362720AAA,1.6419282805727048e-05,1,1,0.0,69.0,2.0,Kodinar_NCplxDPP_D (Gujarat),0.0011329305135951,-0.005311017640626102,-0.013135942306193745,0.015167636239420433,0.011361124035081162,-0.009994206360163547,-0.003233886126821171,0.015297544700170501,0.01828118703006046,-0.009668263821182787,0.013187906197033023,-0.008471403499950233,0.013471385511354503,3.083945479798191e-16,7.743576923419281e-16,-1.97239275289267e-15,1.9791244687728496e-15
IND362560AAA,1.6419282805727048e-05,1,1,0.0,65.0,1.588235294117647,Una_Mamlatdr_DC (Gujarat),0.0010672533823722,-0.005311017640626099,-0.013135942306193752,0.015167636239420433,0.01136112403508116,-0.009994206360163545,-0.0032338861268211673,0.015297544700170545,0.018281187030060504,-0.009668263821182813,0.013187906197033014,-0.00847140349995017,0.01347138551135453,2.941590033362404e-16,7.493346460415838e-16,-1.9890679513624442e-15,1.983573288513377e-15
IND362150AAA,1.6419282805727048e-05,1,1,0.0,57.0,1.5333333333333334,Talala_SsnRdDPP_D (Gujarat),0.0009358991199264,-0.005311017640626097,-0.013135942306193723,0.01516763623942043,0.011361124035081157,-0.009994206360163536,-0.0032338861268211743,0.01529754470017053,0.018281187030060528,-0.00966826382118277,0.013187906197033075,-0.008471403499950222,0.01347138551135452,2.817796620434325e-16,7.655951888792469e-16,-1.9646758229527065e-15,1.985294609700336e-15
IND131028AAB,0.0478369026019626,20,20,0.0343709468223086,922.0,2.019287856453702,Sonipat_Kundli_H (Haryana),44.10562419900957,-0.0016339014750702612,-0.0022015648276477256,0.001474807863769504,-0.0021592702293542435,-0.0010393942060210849,0.001169326187897775,0.0005908324820180416,0.002183509811772006,0.0010899756375819137,0.00020037299858047922,0.00041507505737842183,-0.0010942842252758917,-0.00246474210621933,-0.0008292310902538149,-0.004365931260401714,-0.0029525794156899745
IND247667AAB,0.0,1,1,1.0,4.0,2.4642857142857144,Roorkee_IOTCEncl_L (Uttarakhand),0.0,-0.0016339014750703018,-0.002201564827647563,0.0014748078637696086,-0.0021592702293540774,-0.0010393942060211248,0.001169326187897774,0.0005908324820179795,0.002183509811772041,0.0010899756375820277,0.00020037299858059748,0.00041507505737881464,-0.0010942842252756803,-0.0025806430474954157,-0.0008902050568358316,-0.004710732811129275,-0.0032209976472824427
IND249407AAA,0.004033305602989,5,3,0.08,170.0,1.9077120012603883,Haridwar (Uttarakhand),0.6856619525081367,-0.0016339014750703458,-0.0022015648276474693,0.0014748078637696678,-0.0021592702293539803,-0.0010393942060211393,0.0011693261878977824,0.000590832482017946,0.002183509811772064,0.0010899756375820954,0.00020037299858067048,0.0004150750573790433,-0.0010942842252755606,-0.002644974906503407,-0.0009241858748674311,-0.004903043305911784,-0.0033709604706551534
IND600056AAB,0.0421461958306008,18,18,0.039708265802269,1678.0,1.7769073592795712,MAA_Poonamallee_HB (Tamil Nadu),70.7213166037482,-0.0016339014750701743,-0.0022015648276488393,0.0014748078637696112,-0.0021592702293539738,-0.0010393942060210042,0.001169326187897762,0.0005908324820181469,0.0021835098117719176,0.001089975637580817,0.00020037299857917495,0.0004150750573759878,-0.001094284225277385,0.00036794544065962164,0.00466026873462178,0.00045359500909391914,-0.003775929322380544
IND000000ACA,0.0080600434928557,13,9,0.08,464.0,1.7680083740648755,Ludhiana_MilrGanj_HB (Punjab),3.7398601806850857,-0.0016339014750704063,-0.0022015648276483566,0.001474807863769019,-0.002159270229355105,-0.0010393942060209326,0.0011693261878977753,0.000590832482018087,0.002183509811772079,0.0010899756375823627,0.00020037299858053061,0.00041507505737639296,-0.001094284225276304,-0.0019201011445956118,0.000519068714312085,-0.003951219938129244,-0.0038996165311272857
IND144001AAB,0.0036304858648218,5,5,0.2073170731707317,174.0,2.3091798082869515,Jalandhar_DPC (Punjab),0.6317045404790053,-0.001633901475070391,-0.0022015648276483106,0.001474807863769053,-0.002159270229355049,-0.0010393942060209292,0.0011693261878977822,0.0005908324820180844,0.0021835098117720716,0.0010899756375822947,0.00020037299858047494,0.0004150750573764043,-0.0010942842252763545,-0.0018839849821315053,0.0005041914272954555,-0.0038302197520700032,-0.003763700467347302
