node_id,betweenness_centrality,in_degree,out_degree,clustering_coefficient,delayed_trips,avg_delay_factor,node_name,sla_breach_score
IND560048AAB,0.0008070989681392939,4,2,0.6153846153846154,103.0,1.861904761904762,Bengaluru_Hoodi_IP (Karnataka),0.08313119371834728
IND127201AAA,0.0012106484522089408,1,1,0.0,8.0,1.7901785714285714,Loharu_BstndDPP_D (Haryana),0.009685187617671526
IND124141AAA,0.001208459214501511,1,1,0.0,39.0,1.7241379310344829,ChrkhiDdri_PuranDPP_D (Haryana),0.04712990936555893
IND401501AAA,0.0,1,1,0.0,51.0,2.072649572649573,Boisar_OstwlEmp_D (Maharashtra),0.0
IND401602AAA,0.0,1,1,0.0,31.0,5.620909090909091,Dahanu_KetyDPP_D (Maharashtra),0.0
IND245101AAA,0.0,2,2,1.0,40.0,2.424248120300752,Hapur_Swargash_D (Uttar Pradesh),0.0
IND174307AAA,0.0,1,1,0.5,0.0,0.0,Bangana_Bhaleti_D (Himachal Pradesh),0.0
IND177033AAA,0.0008078287140417707,1,1,0.0,142.0,1.8742690058479532,Nadaun_Ward6_D (Himachal Pradesh),0.11471167739393144
IND344022AAB,0.001619306157595925,1,2,0.3333333333333333,41.0,1.35625,Balotra_BsnoiHPL_D (Rajasthan),0.06639155246143293
IND345021AAA,0.0,2,1,0.5,30.0,1.48125,Pokhran_SttinDPP_D (Rajasthan),0.0
IND342301AAA,0.0016105492067662042,4,1,0.25,54.0,1.99375,Phalodi_PalikDPP_D (Rajasthan),0.08696965716537502
IND384205AAA,0.008450092677729615,6,6,0.0546875,77.0,1.59060696928344,Mehsana_Panchot_IP (Gujarat),0.6506571361851803
IND384170AAA,0.0012150269276238015,1,1,0.0,17.0,1.2272727272727273,Unjha_DC (Gujarat),0.020655457769604625
IND384265AAB,0.0012128376899163712,1,2,0.16666666666666666,0.0,0.0,Patan_Central_D_2 (Gujarat),0.0
IND385320AAA,0.0,1,1,0.5,0.0,0.0,Bhabhar_TirupDPP_D (Gujarat),0.0
IND380054AAA,0.0,1,1,0.0,48.0,1.8944444444444444,AMD_Memnagar (Gujarat),0.0
IND683511AAA,0.022768801903177316,13,7,0.0213903743315508,352.0,1.3997744547178559,Aluva_Peedika_H (Kerala),8.014618269918415
IND000000ABA,0.0004053738488258389,1,1,0.5,0.0,0.0,Cochin_Chtrpuza_D (Kerala),0.0
IND411033AAA,0.0432540118304799,23,20,0.05343082114735658,4044.0,1.7331006417909818,Pune_Tathawde_H (Maharashtra),174.91922384246072
IND413002AAA,0.0037188757110472067,5,5,0.17073170731707318,507.0,1.8375000000000001,Solapur_Central_I_2 (Maharashtra),1.8854699855009338
IND533003AAA,0.0004053738488258389,2,2,0.7,63.0,2.1679545454545455,Kakinada_DC (Andhra Pradesh),0.025538552476027848
IND533401AAA,1.824364756191894e-07,1,2,0.8333333333333334,72.0,2.0491156311009253,Tuni_Eaglvari_D (Andhra Pradesh),1.3135426244581637e-05
