node_id,node_name
IND751002AAB,Bhubaneshwar_Hub (Orissa)
IND301001AAB,Alwar_Central_I_1 (Rajasthan)
IND321001AAB,Bharatpur_NraynDPP_D (Rajasthan)
IND321001AAA,Bharatpur_DC (Rajasthan)
IND321408AAB,Weir_BsstdDPP_D (Rajasthan)
IND321606AAA,Kherli_GodamDPP_D (Rajasthan)
IND712310AAE,Kolkata_North_I_4 (West Bengal)
IND711303AAA,Bagnan_Harop_D (West Bengal)
IND721134AAB,Kolaghat_Central_DPP_2 (West Bengal)
IND110037AAM,Delhi_Airport_H (Delhi)
IND781005AAA,Guwahati_North (Assam)
IND000000AFT,Mumbai_Sanpada_I (Maharashtra)
IND110035AAC,Delhi_North_R_8 (Delhi)
IND515134AAA,Puttaprthi_Gokulam_D (Andhra Pradesh)
IND515201AAA,Hindupur_Parigi_D (Andhra Pradesh)
IND421302AAN,GreaterThane_Anjur_C (Maharashtra)
IND501359AAE,Hyderabad_Shamshbd_H (Telangana)
IND500050AAA,Patancheru_Ameenpur_I (Telangana)
IND110044AAB,Del_Okhla_PC (Delhi)
IND560002AAA,Bengaluru_KHRoad_I (Karnataka)
IND842001AAA,Muzaffrpur_Bbganj_I (Bihar)
IND846004AAA,Darbhanga (Bihar)
IND847103AAA,Benipur_Javahar_D (Bihar)
IND847404AAB,Jhanjharpur_Nagar_D (Bihar)
IND424006AAA,Dhule_MIDCAvdn_I (Maharashtra)
IND424304AAC,Sakri_DhuleRoad_D (Maharashtra)
IND425412AAA,Nandurbar_DhuleRd_D (Maharashtra)
IND425409AAA,Shahada_Nandrbar_D (Maharashtra)
IND425405AAA,Shirpur_KrantiNgr_D (Maharashtra)
IND712124AAA,Hooghly_DC (West Bengal)
IND712103AAA,Hoogly_Bandel_D (West Bengal)
IND201007AAA,GZB_Mohan_Nagar_DPC (Uttar Pradesh)
IND245304AAA,Pilkhuwa_HapurRD_D (Uttar Pradesh)
IND380006AAA,Ahmedabad_Paldi_D (Gujarat)
IND560058AAB,Bengaluru_Peenya_IP (Karnataka)
IND585222AAA,Sedam_DBRCmplx_D (Karnataka)
IND585307AAB,Chincholi_Mainroad_D (Karnataka)
IND624001AAA,Dindigul_Central_D_1 (Tamil Nadu)
IND624619AAA,Oddnchtram_Palani_D (Tamil Nadu)
IND624601AAA,Palani_RjndraRd_D (Tamil Nadu)
IND624101AAA,Kodaikanal_Athithnr_DC (Tamil Nadu)
IND624202AAA,Batlagundu_RTOofice_D (Tamil Nadu)
IND605601AAA,Villupuram_Thirumtr_IP (Tamil Nadu)
IND607106AAA,Panruti_GandhiRd_D (Tamil Nadu)
IND607801AAA,Neyveli_NJVNgr_D (Tamil Nadu)
IND606003AAA,Virudhchlm_SelamRd_D (Tamil Nadu)
IND606105AAA,Pennadam_EastmnRD_D (Tamil Nadu)
IND606201AAC,Chinnasalem_VkotRoad_D (Tamil Nadu)
IND695582AAA,Kazhakkoottam_Rdiosttn_D (Kerala)
IND695101AAB,Attingal_Central_D_2 (Kerala)
IND691574AAA,Kalluvathukal_Pariplly_D (Kerala)
IND751015AAA,Bhubaneshwar_Nayapalli (Orissa)
IND530043AAA,Visakhapatnam_VislkNgr_DC (Andhra Pradesh)
IND531163AAA,Bheemunipatnam_SaiTempl_D (Andhra Pradesh)
IND535001AAA,Vizianagaram_NcsRd_DC (Andhra Pradesh)
IND380021AAA,AMD_Rakhial (Gujarat)
IND174103AAA,Baddi_ByePass_D (Himachal Pradesh)
IND121001AAA,Faridabad (Haryana)
IND400705AAA,Mumbai_Sanpada_CP (Maharashtra)
IND573201AAB,Hassan_Pandrnga_I (Karnataka)
IND573116AAA,Channaraya_patna_D (Karnataka)
IND571104AAA,Koppa_BMRd_D (Karnataka)
IND577598AAB,Madikeri_MuthpTmp_D (Karnataka)
IND573142AAA,Ramanathapura_Central_D_2 (Karnataka)
